run_name;model_family;encoder;train_mode;size_hw;epochs;batch;aug;aug_repeats;loss_name;test_mIoU;val_mIoU;val_loss;train_time_sec;last_lr;n_epochs_ran
CONVNEXT_TINY_FT_512x512_b4_aug1_ce_dice_e20_seed42;unet;convnext_tiny;finetune;(512, 512);20.0;4;True;1;ce_dice;0.8402332067489624;0.8255760073661804;0.261525958776474;5253.866532087326;0.0003000000142492354;20.0
VGG16_FT_512x512_b4_aug1_ce_dice_e20_seed42;unet;vgg16;finetune;(512, 512);20.0;4;True;1;ce_dice;0.8114193677902222;0.7970172762870789;0.29462549090385437;6715.994060516357;0.0003000000142492354;20.0
CONVNEXT_TINY_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;unet;convnext_tiny;frozen;(512, 512);20.0;4;True;1;ce_dice;0.8088800311088562;0.7965244054794312;0.2895760238170624;4112.461127758026;0.0003000000142492354;19.0
SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;segformer;mit;frozen;(512, 512);20.0;4;True;1;ce_dice;0.7951079607009888;0.7804833054542542;0.29862603545188904;4362.107657670975;0.0003000000142492354;20.0
CONVNEXT_TINY_FT_256x256_b4_aug1_ce_dice;unet;convnext_tiny;finetune;(256, 256);;4;True;1;ce_dice;0.7926158905029297;0.773752748966217;0.3277876079082489;19912.9181497097;0.0002500000118743628;30.0
SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42;segformer;mit;finetune;(512, 512);20.0;4;True;1;ce_dice;0.7901732325553894;0.7782219648361206;0.30545926094055176;2501.778820991516;0.0003000000142492354;11.0
RESNET50_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;unet;resnet50;frozen;(512, 512);20.0;4;True;1;ce_dice;0.789840042591095;0.7753569483757019;0.31981438398361206;3474.777528524399;0.0003000000142492354;16.0
RESNET50_FT_512x512_b4_aug1_ce_dice_e20_seed42;unet;resnet50;finetune;(512, 512);20.0;4;True;1;ce_dice;0.7879180312156677;0.7715005874633789;0.3268219530582428;3421.492373228073;0.0003000000142492354;14.0
UNET_CONVNEXT_TINY_256x256_b4_aug1_rep1_ce_dice_e50ft30_seed42;unet;convnext_tiny;finetune;(256, 256);50.0;4;True;1;ce_dice;0.7758796215057373;0.7598128318786621;0.361396849155426;16590.539647579193;;
CONVNEXT_TINY_FROZEN_256x256_b4_aug1_ce_dice;unet;convnext_tiny;frozen;(256, 256);;4;True;1;ce_dice;0.7735310792922974;0.7574819326400757;0.357744425535202;17003.96164083481;0.0002500000118743628;40.0
UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e40_seed42;unet;scratch;scratch;(256, 256);40.0;4;True;1;ce_dice;0.7718981504440308;0.7538622617721558;0.3502121567726135;11925.037594079971;0.0002500000118743628;40.0
VGG16_FT_256x256_b4_aug1_ce_dice;unet;vgg16;finetune;(256, 256);;4;True;1;ce_dice;0.768835186958313;0.7465164661407471;0.36784419417381287;10008.115595817566;0.0010000000474974513;30.0
EOMT_DINOV2BASE_MULTISCALE_256x256_L4p256_b4xa2_cosine_T10x2_e50ft30_seed42;eomt;dinov2;finetune;(256, 256);50.0;4;;1;;0.7661434270252309;0.7337669136827952;0.30931065571308136;10105.070947170258;;
RESNET50_FROZEN_256x256_b4_aug1_ce_dice;unet;resnet50;frozen;(256, 256);;4;True;1;ce_dice;0.7642046213150024;0.7469061613082886;0.3740164637565613;11520.531383275986;0.0001250000059371814;40.0
RESNET50_FT_256x256_b4_aug1_ce_dice;unet;resnet50;finetune;(256, 256);;4;True;1;ce_dice;0.7613344192504883;0.7418296337127686;0.3712274730205536;12978.645078420639;0.0002500000118743628;30.0
UNET_SCRATCH_512x512_b4_aug1_ce_dice_e20_seed42;unet;scratch;scratch;(512, 512);20.0;4;True;1;ce_dice;0.7538447380065918;0.7364894151687622;0.38748079538345337;4372.457033157349;0.0003000000142492354;20.0
EOMT_DINOV2BASE_256x256_b4xa1_aug1_e50ft30_seed42;eomt;dinov2;finetune;(256, 256);50.0;4;True;1;;0.7489526046334782;0.7119051365536206;0.3454562052488327;19177.80379295349;;
VGG16_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;unet;vgg16;frozen;(512, 512);20.0;4;True;1;ce_dice;0.7487771511077881;0.7289785146713257;0.40971168875694275;4839.3196132183075;0.0003000000142492354;20.0
VGG16_FROZEN_256x256_b4_aug1_ce_dice;unet;vgg16;frozen;(256, 256);;4;True;1;ce_dice;0.739793062210083;0.7170036435127258;0.4287886917591095;12095.548187732697;0.0001250000059371814;40.0
SEGFORMER_MITB5_256x256_b4_aug1_rep1_ce_dice_e10ft5_seed42;segformer;mit;finetune;(256, 256);10.0;4;True;1;ce_dice;0.7364094853401184;0.7212890386581421;0.3872379660606384;8902.092788219452;;
SEGFORMER_MITB0_FT_256x256_b4_aug1_ce_dice_e40_seed42;segformer;mit;finetune;(256, 256);40.0;4;True;1;ce_dice;0.7362686395645142;0.7210680842399597;0.3919050693511963;14059.287629842758;0.0001250000059371814;40.0
SEGFORMER_MITB0_256x256_b4_aug1_rep1_ce_dice_e50ft30_seed42;segformer;mit;finetune;(256, 256);50.0;4;True;1;ce_dice;0.7304950952529907;0.7139507532119751;0.40149420499801636;16364.120607852936;;
SEGFORMER_B0_FT_256x256_b4_aug1_ce_dice_e30_seed42;segformer;mit;finetune;(256, 256);30.0;0;True;1;ce_dice;0.7284059524536133;0.7130504250526428;0.40631169080734253;10785.388860702515;0.0002500000118743628;30.0
UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e10_seed42;unet;scratch;scratch;(256, 256);10.0;4;True;1;ce_dice;0.6814644932746887;0.6593362092971802;0.5261054039001465;2958.684038877487;0.0010000000474974513;10.0
UNET_SCRATCH_256x256_b4_aug0_rep1_ce_e5_seed42;unet;scratch;scratch;(256, 256);5.0;4;False;1;ce;0.6710139513015747;0.64772629737854;0.3452959954738617;1466.4445674419403;0.0010000000474974513;5.0
UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42;unet;scratch;scratch;(128, 128);5.0;8;False;1;ce;0.6488019227981567;0.6281362175941467;0.3678223788738251;1182.3437721729279;0.0010000000474974513;5.0
UNET_SCRATCH_128x128_b8_aug1_rep1_ce_e10_seed42;unet;scratch;scratch;(128, 128);10.0;8;True;1;ce;0.6309226751327515;0.6043614149093628;0.4204734265804291;2367.6531479358673;0.0010000000474974513;10.0
